type,classification_description,Count
ASJC,1405,74
CPXCLASS,Crystal Lattice,74
ASJC,1201,74
ASJC,1202,74
ASJC,1310,74
ASJC,2309,73
ASJC,2716,72
CPXCLASS,Secondary Batteries,72
ASJC,1911,72
CPXCLASS,Air Pollution Sources,71
ASJC,2613,71
CPXCLASS,Zinc and Alloys,71
ASJC,2501,71
ASJC,2216,70
FLXCLASS,HEAT EXCHANGE,70
CPXCLASS,Environmental Engineering,69
GEOCLASS,"HEALTH, HEALTH SYSTEMS AND SERVICES",67
ASJC,1507,67
CPXCLASS,Medicine,67
ASJC,1910,67
CPXCLASS,Extraterrestrial Physics and Stellar Phenomena,66
ASJC,3200,66
ASJC,3313,66
CPXCLASS,Heat Treatment Processes,65
CPXCLASS,Polymerization,65
CPXCLASS,"Others, incl. Bismuth, Boron, Cadmium, Cobalt, Mercury, Niobium, Selenium, Silicon, Tellurium",65
ASJC,3316,65
CPXCLASS,Electron Tubes,64
CPXCLASS,Water Treatment Techniques,64
ASJC,3207,64
CPXCLASS,"Computer Theory, Includes Computational Logic, Automata Theory, Switching Theory, Programming Theory",63
CPXCLASS,Digital Computers and Systems,62
EMCLASS,Arthritis and Rheumatism,62
ASJC,3320,62
CPXCLASS,Printing Equipment,62
CPXCLASS,Agricultural Wastes,62
ASJC,1505,61
ASJC,2104,61
ASJC,2203,60
ASJC,2748,60
ASJC,2724,60
CPXCLASS,Control Equipment,59
CPXCLASS,Electromagnetic Waves,59
ASJC,2803,59
CPXCLASS,Solid Fuels,58
ASJC,2101,58
CPXCLASS,Water Resources,58
ASJC,1208,58
CABSCLASS,CLINICAL CHEMISTRY,57
GEOCLASS,Medical Geography,56
FLXCLASS,CORROSION,56
ASJC,2614,56
CPXCLASS,"Cellulose, Lignin and Derivatives",56
CPXCLASS,Nickel,55
CPXCLASS,Metallography,55
CPXCLASS,Geology,55
ASJC,2747,55
CPXCLASS,Buildings and Towers,55
CPXCLASS,Classical Physics,54
EMCLASS,Occupational Health and Industrial Medicine,54
ASJC,2742,54
CPXCLASS,Industrial Wastes Treatment,53
CPXCLASS,"Data Storage, Equipment and Techniques",52
ENCOMPASSCLASS,Health and Environment,52
ASJC,2605,52
CPXCLASS,Robotics,51
ASJC,1406,51
ASJC,1108,51
ASJC,1906,51
ASJC,1213,50
CPXCLASS,Information Retrieval and Use,50
CPXCLASS,Calculus,50
ASJC,3314,50
CPXCLASS,Imaging Techniques,50
ASJC,1901,50
EMCLASS,Physiology,50
CPXCLASS,"Data Communication, Equipment and Techniques",50
ASJC,2306,50
CPXCLASS,Solar Energy and Phenomena,49
CPXCLASS,Engineering Research,49
CPXCLASS,Cement,49
ASJC,2401,49
ASJC,1401,48
ASJC,3601,48
CPXCLASS,Crystalline Solids,47
GEOCLASS,Soil mechanics,47
ASJC,2722,47
CPXCLASS,Copper,47
ASJC,3403,47
ASJC,2703,47
ASJC,3614,46
CPXCLASS,Heat Transfer,46
ASJC,1704,46
CPXCLASS,Water Pollution,46
CPXCLASS,Energy Storage,45
CPXCLASS,Ecology and Ecosystems,45
ASJC,2802,45
CPXCLASS,Statistical Methods,45
CPXCLASS,Plasma Physics,45
CPXCLASS,Air Pollution Control,45
ASJC,1407,45
CPXCLASS,Oil Field Production Operations,45
ASJC,2212,45
ASJC,3315,44
CPXCLASS,Bioengineering,44
CPXCLASS,Agricultural Methods,44
ASJC,3203,44
CPXCLASS,Meteorology,43
ASJC,2214,43
EMCLASS,Developmental Biology and Teratology,43
CPXCLASS,Ceramics,42
CPXCLASS,Pulp and Paper,42
CPXCLASS,Aluminum Alloys,42
CPXCLASS,Radio Systems and Equipment,42
CPXCLASS,Algebra,42
CPXCLASS,Solar Power,42
CPXCLASS,Microfluidics,41
ASJC,1506,41
CPXCLASS,Electric Components,41
ASJC,1804,41
CPXCLASS,Electric Power Transmission,41
ASJC,2610,41
CPXCLASS,Agricultural Equipment and Methods,40
GEOCLASS,Pollution and waste management - non-radioactive,40
ASJC,2001,40
EMCLASS,"Anatomy, Anthropology, Embryology and Histology",40
CPXCLASS,"Magnetism, Basic Concepts and Phenomena",40
CPXCLASS,Soil Mechanics and Foundations,39
ASJC,1402,39
ASJC,2704,38
ASJC,2302,38
CPXCLASS,Mass Transfer,38
CPXCLASS,Magnetism: Basic Concepts and Phenomena,38
CABSCLASS,PROTEIN BIOCHEMISTRY,38
EMCLASS,Rehabilitation and Physical Medicine,37
FLXCLASS,COASTAL AND OCEAN ENGINEERING,37
CPXCLASS,Fiber Optics,37
ASJC,3308,37
CPXCLASS,Personnel,36
ASJC,1703,36
ASJC,1801,36
ASJC,1904,36
ASJC,2805,36
ASJC,3108,36
CPXCLASS,Plastics Products,36
ASJC,1107,35
CPXCLASS,Machine Learning,35
CPXCLASS,Alkali Metals,35
ASJC,1309,35
ASJC,3611,35
ASJC,3309,35
CPXCLASS,Temperature Measurements,35
ASJC,2702,34
CPXCLASS,Metals Corrosion,34
ASJC,3311,34
CPXCLASS,Electric Batteries,34
CPXCLASS,Production Planning and Control,34
ASJC,1206,34
EMCLASS,Epilepsy Abstracts,34
CPXCLASS,Aluminum,34
ASJC,3001,33
ASJC,3506,33
ASJC,3401,33
ASJC,1902,33
CPXCLASS,Automatic Control Principles and Applications,33
ASJC,3202,33
ASJC,2745,33
CPXCLASS,Groundwater,33
CPXCLASS,Solar Cells,33
ASJC,2602,33
CPXCLASS,Computer Peripheral Equipment,32
CABSCLASS,ENDOCRINOLOGY AND METABOLISM,32
ASJC,1210,32
EMCLASS,"Drug Dependence, Alcohol Abuse and Alcoholism",32
CPXCLASS,"Computer Theory (Includes Formal Logic, Automata Theory, Switching Theory and Programming Theory)",32
CPXCLASS,Surveying,32
CPXCLASS,Telephone Systems and Equipment,32
CPXCLASS,Packaging Materials,32
CPXCLASS,Surface Water,32
CPXCLASS,Dielectric Materials,32
ASJC,3501,31
CPXCLASS,Roads and Streets,31
CPXCLASS,Maintenance,31
CPXCLASS,Water Analysis,31
CPXCLASS,Industrial Engineering and Management,31
CABSCLASS,TOXICOLOGY,31
CPXCLASS,Precipitation,31
CPXCLASS,Pulse Circuits,30
ASJC,1409,30
CPXCLASS,Crystal Growth,30
CPXCLASS,Structural Design,30
ASJC,2202,30
CPXCLASS,Titanium and Alloys,30
ASJC,3505,30
ASJC,2206,30
CPXCLASS,Space Physics,30
CPXCLASS,Municipal and Industrial Wastes,29
CPXCLASS,Development Operations,29
CPXCLASS,Storage,29
CPXCLASS,Radiation Measuring Instruments,29
CPXCLASS,Fiber Products,29
ASJC,2711,29
CPXCLASS,"Structural Design, General",28
CPXCLASS,Steel,28
CPXCLASS,Computer Programming Languages,28
CPXCLASS,Ore Treatment,28
CPXCLASS,Materials Handling Methods,28
ASJC,1908,28
ASJC,3404,28
CPXCLASS,Mathematical Transformations,27
CPXCLASS,Database Systems,27
CPXCLASS,Wood and Wood Products,27
FLXCLASS,THE ATMOSPHERE,27
ASJC,1301,27
CPXCLASS,Control Instrumentation,26
ASJC,3205,26
ASJC,2603,26
ASJC,1212,26
CPXCLASS,Construction Equipment and Methods,26
CPXCLASS,Copper Alloys,26
CPXCLASS,Nickel Alloys,26
CPXCLASS,Mechanical Variables Measurements,26
CPXCLASS,Heat Exchange Equipment and Components,25
CPXCLASS,"Biomedical Equipment, General",25
CPXCLASS,Education,25
CPXCLASS,Fiber Chemistry and Processing,25
CPXCLASS,Alkaline Earth Metals,25
CPXCLASS,Electric Equipment,25
CPXCLASS,Electric Transmission and Distribution,25
GEOCLASS,Applications,25
CPXCLASS,Radar Systems and Equipment,25
CPXCLASS,Applied Physics Generally,25
ASJC,3607,24
GEOCLASS,Concepts and issues in environmental planning,24
ASJC,3402,24
CPXCLASS,Computer Systems and Equipment,24
