type,classification_description
CPXCLASS,Electricity: Basic Concepts and Phenomena
CPXCLASS,Electrochemistry
CPXCLASS,Electroless Plating
CPXCLASS,Electromagnetic Waves
CPXCLASS,Electromagnetic Waves in Different Media
CPXCLASS,Electromagnetic Waves in Relation to Various Structures
CPXCLASS,Electron Tubes
CPXCLASS,Electronic Circuits
CPXCLASS,Electronic Components and Tubes
CPXCLASS,"Electronic Equipment, General Purpose and Industrial"
CPXCLASS,"Electronic Equipment, Radar, Radio and Television"
CPXCLASS,Electronic Structure of Solids
CPXCLASS,Electronic and Thermionic Materials
CPXCLASS,Electroplating
CPXCLASS,Elevators
EMCLASS,Endocrinology
CPXCLASS,Energy Conservation
CPXCLASS,Energy Conversion
CPXCLASS,Energy Conversion Issues
CPXCLASS,Energy Losses (industrial and residential)
CPXCLASS,Energy Losses/Dissipation
CPXCLASS,Energy Management
CPXCLASS,Energy Management and Conversion
CPXCLASS,Energy Policy
CPXCLASS,Energy Resources
CPXCLASS,Energy Resources and Renewable Energy Issues
CPXCLASS,Energy Storage
CPXCLASS,Energy Utilization
CPXCLASS,Engineering Graphics
CPXCLASS,Engineering Profession
CPXCLASS,Engineering Professional Aspects
CPXCLASS,Engineering Research
GEOCLASS,Engineering seismology
GEOCLASS,Environmental Assessment and Monitoring
GEOCLASS,Environmental Economics
CPXCLASS,Environmental Engineering
CPXCLASS,"Environmental Engineering, General"
EMCLASS,Environmental Health and Pollution Control
CPXCLASS,Environmental Impact and Protection
GEOCLASS,Environmental effects
EMCLASS,Epilepsy Abstracts
CPXCLASS,Ergonomics and Human Factors Engineering
GEOCLASS,Evaporation and transpiration
GEOCLASS,Evolution and Speciation
GEOCLASS,Excavation failure mechanisms
GEOCLASS,Experimental mineralogy
CPXCLASS,Expert Systems
CPXCLASS,Extraterrestrial Physics and Stellar Phenomena
GEOCLASS,"FINANCIAL SECTOR, DEBT"
GEOCLASS,FLUID MECHANICS
FLXCLASS,FLUID MECHANICS
FLXCLASS,FLUIDEX
GEOCLASS,"FOOD, FOOD SUPPLY"
GEOCLASS,FORESTRY
CPXCLASS,Facsimile Systems and Equipment
CPXCLASS,Farm Buildings and Other Structures
GEOCLASS,Fertility
CPXCLASS,Fiber Chemistry and Processing
CPXCLASS,Fiber Optics
CPXCLASS,Fiber Products
CPXCLASS,Fires and Fire Protection
GEOCLASS,Fisheries
GEOCLASS,Fisheries and aquatic resources
CPXCLASS,Fission and Fusion Reactions
CPXCLASS,Flexible Manufacturing Systems
CPXCLASS,Flood Control
CPXCLASS,Fluid Flow
CPXCLASS,"Fluid Flow, General"
GEOCLASS,Fluvial landforms
CPXCLASS,Food Processing Operations
CPXCLASS,Food Products
CPXCLASS,Food Products Plants and Equipment
CPXCLASS,Food Technology
EMCLASS,Forensic Science Abstracts
GEOCLASS,Forest Resources
GEOCLASS,Forestry
CPXCLASS,Foundations
GEOCLASS,Foundations and piles
CPXCLASS,Foundries
CPXCLASS,Foundry Practice
GEOCLASS,Freshwater ecology
CPXCLASS,Fuel Cells
CPXCLASS,Fuel Combustion
CPXCLASS,Fuel Combustion and Flame Research
ENCOMPASSCLASS,Fuel Reformulation
GEOCLASS,Fuel and Energy
GEOCLASS,Fungi and fungal associations
GEOCLASS,GENERAL MICROBIAL ECOLOGY
CABSCLASS,GENETICS AND MOLECULAR BIOLOGY
GEOCLASS,GEOCHRONOLOGY
GEOCLASS,"GIS, Remote Sensing"
GEOCLASS,GLOBAL ECOLOGY
CPXCLASS,Gas Dynamics
CPXCLASS,Gas Fuels
CPXCLASS,Gas Lasers
CPXCLASS,Gas Turbines and Engines
EMCLASS,Gastroenterology
CPXCLASS,Gems
GEOCLASS,Gender Studies
GEOCLASS,General
CABSCLASS,General
EMCLASS,General Pathology and Pathological Anatomy
GEOCLASS,General and chronology
GEOCLASS,General pollution
GEOCLASS,General underground storage
CPXCLASS,Genetic Engineering
GEOCLASS,Geobase
CPXCLASS,Geochemistry
GEOCLASS,"Geochronology, stratigraphy and palaeontology"
GEOCLASS,Geological factors
CPXCLASS,Geology
CPXCLASS,Geology and Geophysics
CPXCLASS,Geophysical Prospecting
CPXCLASS,Geophysics
CPXCLASS,Geothermal Energy
CPXCLASS,Geothermal Phenomena
GEOCLASS,Geothermal energy
EMCLASS,Gerontology and Geriatrics
GEOCLASS,Glacial landforms and sediments
CPXCLASS,Glass
GEOCLASS,Global and Regional Planning
CPXCLASS,Gravitation and Relativity
CPXCLASS,"Gravitation, Relativity and String Theory"
GEOCLASS,Groundwater
CPXCLASS,Groundwater
GEOCLASS,Groundwater problems and environmental effects
GEOCLASS,Groundwater processes
GEOCLASS,Groundwater quality
GEOCLASS,Grouting
GEOCLASS,HAZARDS AND DISASTER PLANNING
GEOCLASS,"HEALTH, HEALTH SYSTEMS AND SERVICES"
FLXCLASS,HEAT EXCHANGE
GEOCLASS,HOUSING
CPXCLASS,Health Care
EMCLASS,"Health Policy, Economics and Management"
ENCOMPASSCLASS,Health and Environment
CPXCLASS,Heat Exchange Equipment and Components
CPXCLASS,Heat Insulating Materials
CPXCLASS,Heat Transfer
CPXCLASS,Heat Treatment Processes
CPXCLASS,Heat and Mass Transfer
CPXCLASS,Heavy Duty Motor Vehicles
CPXCLASS,Heavy Metal Mines
GEOCLASS,Heavy metals
EMCLASS,Hematology
GEOCLASS,Herbivory
CPXCLASS,High Energy Physics
CPXCLASS,High Temperature Superconducting Materials
CPXCLASS,Highway Engineering
CPXCLASS,Highway Systems
CPXCLASS,Highway Traffic Control
CPXCLASS,Highway Transportation
CPXCLASS,"Highway Transportation, General"
CPXCLASS,Holography
CPXCLASS,"Hospitals, Equipment and Supplies"
GEOCLASS,Housing
CPXCLASS,Human Engineering
EMCLASS,Human Genetics
CPXCLASS,Human Rehabilitation Engineering
CPXCLASS,Hydraulic Equipment and Machinery
CPXCLASS,Hydraulics
GEOCLASS,Hydrocarbons
GEOCLASS,Hydrochemistry
CPXCLASS,Hydroelectric Power Plants
GEOCLASS,Hydrogeology
CABSCLASS,IMMUNOLOGY AND INFECTIOUS DISEASES
GEOCLASS,INDUSTRY AND SERVICES
GEOCLASS,"INDUSTRY, INDUSTRIAL POLICY"
GEOCLASS,"INTERNATIONAL RELATIONS, INTERNATIONAL FINANCIAL INSTITUTIONS"
GEOCLASS,Igneous geochemistry
GEOCLASS,Igneous petrology and processes
CPXCLASS,Imaging Techniques
CPXCLASS,Immunology
EMCLASS,"Immunology, Serology and Transplantation"
CPXCLASS,Impact of Technology on Society
CPXCLASS,Industrial Economics
CPXCLASS,Industrial Engineering
CPXCLASS,Industrial Engineering and Management
CPXCLASS,Industrial Furnaces and Components
CPXCLASS,Industrial Hygiene
CPXCLASS,Industrial Wastes
CPXCLASS,Industrial Wastes Treatment
CPXCLASS,Industrial Wastes Treatment and Disposal
CPXCLASS,Industrial and Agricultural Buildings
GEOCLASS,Influence of dynamic loads
CPXCLASS,Information Dissemination
CPXCLASS,Information Retrieval and Use
CPXCLASS,Information Science
CPXCLASS,Information Services
CPXCLASS,Information Sources and Analysis
CPXCLASS,Information Theory and Signal Processing
CPXCLASS,Information and Communication Theory
GEOCLASS,"Information systems, climatic and soil conditions"
CPXCLASS,Inorganic Compounds
CPXCLASS,Inorganic Polymers
CPXCLASS,Inspection
GEOCLASS,Instrumentation
CPXCLASS,"Internal Combustion Engines, General"
EMCLASS,Internal Medicine
GEOCLASS,International Trade and Economic Association
CPXCLASS,Inventory Control
GEOCLASS,Invertebrates
CPXCLASS,Iron
CPXCLASS,Iron Alloys
GEOCLASS,Karst
GEOCLASS,"LABOUR AND MANAGEMENT, EMPLOYMENT POLICY"
FLXCLASS,LUBRICATION
GEOCLASS,Labour and Income
CPXCLASS,Land Reclamation
GEOCLASS,"Land use, forestry and agriculture"
CPXCLASS,Laser Applications
CPXCLASS,Laser Beam Interactions
CPXCLASS,"Lasers, General"
CPXCLASS,Lead and Alloys
CPXCLASS,Leather
CPXCLASS,Legal Aspects
CPXCLASS,Libraries
CPXCLASS,Light Metal Mines
CPXCLASS,Light and Optics
CPXCLASS,"Light, Optics and Optical Devices"
CPXCLASS,Light/Optics
CPXCLASS,Liquid Dynamics
CPXCLASS,Liquid Fuels
CPXCLASS,Lithium and Alloys
CPXCLASS,Locomotives
CPXCLASS,Logic Elements
CPXCLASS,Lubricants
CPXCLASS,Lubrication
GEOCLASS,"MIGRATION, REFUGEES, RESETTLEMENT. LABOUR MIGRATION"
FLXCLASS,MIXING AND SEPARATION
CPXCLASS,Machine Components
CPXCLASS,Machine Learning
CPXCLASS,Machine Tool Accessories
CPXCLASS,"Machine Tools, General"
CPXCLASS,Machining Operations
GEOCLASS,"Macroalgal, seagrass and mangrove communities"
CPXCLASS,Magnesium and Alloys
CPXCLASS,Magnetic Materials
CPXCLASS,Magnetic Variables Measurements
CPXCLASS,"Magnetism, Basic Concepts and Phenomena"
CPXCLASS,Magnetism: Basic Concepts and Phenomena
CPXCLASS,Magnetohydrodynamic (MHD) Power Generation
CPXCLASS,Maintenance
CPXCLASS,Management
CPXCLASS,Manganese and Alloys
CPXCLASS,Manufacturing
CPXCLASS,Marine Drilling Rigs and Platforms
CPXCLASS,Marine Science and Oceanography
GEOCLASS,Marine and coastal environment
GEOCLASS,Marine ecology
GEOCLASS,Marine mammals
CPXCLASS,Maritime Structures
CPXCLASS,Marketing
CPXCLASS,Masonry Materials
CPXCLASS,Mass Transfer
CPXCLASS,Materials Handling Equipment
CPXCLASS,Materials Handling Methods
CPXCLASS,Materials Science
CPXCLASS,Mathematical Statistics
CPXCLASS,Mathematical Transformations
GEOCLASS,Mathematical and computing methods
CPXCLASS,Mathematics
CPXCLASS,Mechanical Design
CPXCLASS,Mechanical Devices
CPXCLASS,Mechanical Drives
CPXCLASS,Mechanical Drives and Transmissions
CPXCLASS,Mechanical Instruments
CPXCLASS,Mechanical Transmissions
CPXCLASS,Mechanical Variables Measurements
CPXCLASS,Mechanics
CPXCLASS,Mechanisms
CPXCLASS,Mechatronics
GEOCLASS,Medical Geography
CPXCLASS,Medicine
CPXCLASS,Medicine and Pharmacology
GEOCLASS,Mesozoic
CPXCLASS,Metal Cutting
CPXCLASS,Metal Forming
CPXCLASS,Metal Forming Practice
CPXCLASS,Metal Plating
CPXCLASS,Metal Refining
CPXCLASS,Metallography
CPXCLASS,Metallurgical Furnaces
CPXCLASS,Metallurgy
CPXCLASS,Metallurgy and Metallography
GEOCLASS,Metals
CPXCLASS,Metals Corrosion
CPXCLASS,Metals Corrosion and Protection
CPXCLASS,"Metals, Plastics, Wood and Other Structural Materials"
GEOCLASS,Metamorphic petrology and processes
CPXCLASS,Meteorological Instrumentation
CPXCLASS,Meteorology
GEOCLASS,Methods and management
CPXCLASS,Microbiology
EMCLASS,"Microbiology: Bacteriology, Mycology, Parasitology and Virology"
CPXCLASS,Microfluidics
GEOCLASS,Migration
CPXCLASS,Military Aircraft
CPXCLASS,Military Engineering
CPXCLASS,Mine and Quarry Operations
CPXCLASS,Mineralogy
CPXCLASS,Minerals
CPXCLASS,"Mines and Mining, Coal"
CPXCLASS,Mines and Quarry Equipment and Operations
GEOCLASS,Mines and quarries
CPXCLASS,"Minor, Precious and Rare Earth Metals and Alloys"
GEOCLASS,Modelling and numerical methods
CPXCLASS,"Modulators, Demodulators, Limiters, Discriminators, Mixers"
CPXCLASS,Moisture Measurements
CPXCLASS,Moisture Measuring Instruments
CPXCLASS,Molybdenum and Alloys
CPXCLASS,Mortar
CPXCLASS,"Mortar (Before 1993, use code 412)"
CPXCLASS,Municipal and Industrial Wastes
CABSCLASS,NEUROSCIENCE
GEOCLASS,NONGOVERNMENTAL ORGANISATIONS AND PEOPLE'S PARTICIPATION
GEOCLASS,NUTRITION
CPXCLASS,Nanofluidics
CPXCLASS,Nanotechnology
GEOCLASS,National Trade and Consumption
GEOCLASS,National and Land-Use Planning
GEOCLASS,National and Local Planning
CPXCLASS,Natural Fibers
ENCOMPASSCLASS,Natural Gas
CPXCLASS,Natural Gas Deposits
CPXCLASS,Natural Gas Fields
GEOCLASS,Natural Hazards
CPXCLASS,Natural Rubber
GEOCLASS,Nature - Society Relations
GEOCLASS,Nekton
EMCLASS,Neurology and Neurosurgery
CPXCLASS,Nickel
CPXCLASS,Nickel Alloys
GEOCLASS,Non-metals
CPXCLASS,Nonlinear Optics
CPXCLASS,Nonmetallic Mines
EMCLASS,Nuclear Medicine
CPXCLASS,Nuclear Physics
CPXCLASS,Nuclear Power Plants
CPXCLASS,Nuclear Reactors
CPXCLASS,Numerical Methods
GEOCLASS,Nutrients
EMCLASS,Obstetrics and Gynecology
EMCLASS,Occupational Health and Industrial Medicine
CPXCLASS,Ocean Engineering
CPXCLASS,Oceanographic Techniques
CPXCLASS,"Oceanography, General"
GEOCLASS,Offshore structures
ENCOMPASSCLASS,Oil Field Chemicals
CPXCLASS,Oil Field Equipment
CPXCLASS,Oil Field Production Operations
CPXCLASS,Oil Fields
GEOCLASS,Oil and chemical pollution
CPXCLASS,Operations Research
EMCLASS,Ophthalmology
CPXCLASS,Optical Communication
CPXCLASS,Optical Communication Equipment
CPXCLASS,Optical Communication Systems
CPXCLASS,Optical Devices and Systems
CPXCLASS,Optical Instruments
CPXCLASS,Optical Variables Measurements
CPXCLASS,Optimization Techniques
CPXCLASS,Ore Treatment
CPXCLASS,Organic Compounds
CPXCLASS,Organic Polymers
GEOCLASS,Organic matter
EMCLASS,Orthopedic Surgery
CPXCLASS,Oscillators
CPXCLASS,Other Electronic Circuits
CPXCLASS,Other Structural Materials
CPXCLASS,"Others, incl. Bismuth, Boron, Cadmium, Cobalt, Mercury, Niobium, Selenium, Silicon, Tellurium"
CPXCLASS,"Others, including Bismuth, Boron, Cadmium, Cobalt, Mercury, Niobium, Selenium, Silicon, Tellurium and Zirconium"
EMCLASS,Otorhinolaryngology
GEOCLASS,PALAEOECOLOGY
FLXCLASS,PETROLEUM ENGINEERING
CABSCLASS,PLANT SCIENCE
GEOCLASS,"POVERTY, WELFARE AND INCOME DISTRIBUTION"
FLXCLASS,POWER GENERATION AND POWER PLANTS
GEOCLASS,"PRIVATE INVESTMENT FLOWS, MULTINATIONALS"
FLXCLASS,PROCESS EQUIPMENT
CABSCLASS,PROTEIN BIOCHEMISTRY
CPXCLASS,Packaging
CPXCLASS,Packaging Equipment
