classification_description,Count
Energy Losses (industrial and residential),19
1302,19
Regional and general,19
Mechanical Design,19
Electroplating,19
3317,19
Iron Alloys,18
Manufacturing,18
Gems,18
Vanadium and Alloys,18
Genetic Engineering,18
Computer Circuits,18
Lead and Alloys,18
Pollution and waste recycling,18
Urban and Regional Planning and Development,18
Social Planning,17
"Hospitals, Equipment and Supplies",17
2612,17
Energy Policy,17
Machining Operations,17
Petroleum Products,17
Energy Management,17
Magnetic Materials,17
"Pipe, Piping and Pipelines",17
3204,17
Water Supply Systems,16
Perception,16
Protection Methods,16
Optical Communication Systems,16
Tanks,16
2902,16
3206,16
Satellites,16
Codes and Standards,16
Inorganic Polymers,16
2911,16
2609,16
Deformation and strength characteristics,16
Mechanical Devices,16
POWER GENERATION AND POWER PLANTS,15
Highway Engineering,15
Hydraulic Equipment and Machinery,15
Chromium and Alloys,15
Influence of dynamic loads,15
3302,15
2909,15
1211,15
Vision,15
Materials Handling Equipment,15
Reservoirs,15
1204,15
Rubber Products,15
Geology and Geophysics,14
Photographic and Video Equipment,14
Television Systems and Equipment,14
2919,14
Natural Gas Deposits,14
Palaeoclimatology,14
Foundations,14
Biomaterials (including synthetics),14
Air Pollution,14
2905,14
Mechanical Transmissions,14
Flood Control,14
Bioinformatics,14
Food Products Plants and Equipment,14
"Oceanography, General",14
Tin and Alloys,13
Earthquake Measurements and Analysis,13
"Chemical Engineering, General",13
"Environmental Engineering, General",13
"Civil Engineering, General",13
Underground excavations,13
Expert Systems,13
Mechanical Drives and Transmissions,13
Metal Forming,13
Construction Equipment,13
Optical Instruments,12
"INDUSTRY, INDUSTRIAL POLICY",12
2913,12
Particle Accelerators,12
2807,12
Lithium and Alloys,12
3307,12
Bridges,12
3102,12
Atmospheric pollution,12
Environmental Economics,12
Diseases,12
Water Pollution Sources,12
Cost Accounting,12
Superconducting Materials,12
Fluid Flow,12
Foundations and piles,12
Electric Variables Measurements,12
Printing,12
Chemical Apparatus and Plants,12
Gas Dynamics,11
Robot Applications,11
Natural Hazards,11
Papermaking Processes,11
Sewage Treatment,11
Heavy Metal Mines,11
Heavy Duty Motor Vehicles,11
Industrial Furnaces and Components,11
Single Element Semiconducting Materials,11
Geochemistry,11
Energy Resources,11
Information Services,11
3609,11
Coating Techniques,11
Groundwater quality,11
1913,11
Synthetic and Natural Fibers,11
2608,11
Forensic Science Abstracts,11
Food Processing Operations,11
3603,11
Remote sensing,11
Compound Semiconducting Materials,11
Tunnels,10
Brick Materials,10
2806,10
Ultrasonic Waves,10
Telecommunication,10
Coastal Engineering,10
1903,10
"Runoff, streamflow and basins",10
Electric Networks,10
Electric Power Lines and Equipment,10
Control System Applications,10
Electric Filters,10
"Minor, Precious and Rare Earth Metals and Alloys",10
Marine ecology,10
Energy Management and Conversion,10
Energy Conversion,10
Fisheries and aquatic resources,10
HAZARDS AND DISASTER PLANNING,10
Political,10
Fuel Combustion,10
Prosthetics,10
Pumps,10
National and Local Planning,9
Transport and Communicatons,9
Acoustic Waves,9
Rail Transportation,9
Capital and Investments,9
Information Dissemination,9
Magnesium and Alloys,9
Amorphous Solids,9
Evolution and Speciation,9
"Radioactive Materials, General",9
Concrete Reinforcements,9
3600,9
Strength of Building Materials,9
"Wind Power (Before 1993, use code 611)",9
Liquid Dynamics,9
Engineering seismology,9
Food Technology,9
Value Engineering,9
Tungsten and Alloys,9
Small Marine Craft,9
3319,9
Slopes,9
2901,9
Energy Losses/Dissipation,9
Rolling Mill Practice,9
"Electronic Equipment, Radar, Radio and Television",9
Manganese and Alloys,9
Electromagnetic Waves in Relation to Various Structures,9
Sediments and sedimentary processes - transport,9
Sewage and Industrial Wastes Treatment,9
Refrigeration Equipment and Components,9
Human Engineering,9
"Mortar (Before 1993, use code 412)",8
Nuclear Reactors,8
Temperature Measuring Instruments,8
VESSELS AND MARINE ENGINEERING,8
Textile Products and Processing,8
Hydrocarbons,8
Electric and Electronic Instruments,8
Other Electronic Circuits,8
2601,8
Highway Systems,8
TRANSPORT AND COMMUNICATIONS,8
"Air Transportation, General",8
Polymers and Polymer Science,8
Applied sedimentology,8
Hydroelectric Power Plants,8
Earthquakes,8
Safety Engineering,8
Information Science,8
Water resources development - general,8
Electronic Structure of Solids,8
Arable,8
Vertebrates,8
Radioactive Materials,8
Agriculture,8
Photographic Equipment,8
1504,8
Amplifiers,7
Mine and Quarry Operations,7
Agricultural Chemicals,7
Waveguides,7
Acoustical and Optical Measuring Instruments,7
Waterway Transportation,7
Waterways,7
Wind Power,7
Nanofluidics,7
2917,7
Urban Planning,7
Military Engineering,7
Gas Turbines and Engines,7
Process Heating,7
Product Development,7
Fuel and Energy,7
Evaporation and transpiration,7
Photography,7
Regional,7
Highway Traffic Control,7
Electricity and Magnetism,7
"Petroleum Refining, General",7
Rubber and Elastomer Processing,7
Electric Generators,7
Sewage,7
2914,7
Small Tools and Hardware,7
Meteorological Instrumentation,7
Cryogenics,7
Natural Gas,7
Steam Power Plants,7
Surface water quality,7
PALAEOECOLOGY,7
Laser Applications,7
"Textile Mills, Machinery and Equipment",7
Air Transportation,7
Mechanical Instruments,6
Moisture Measurements,6
Maritime Structures,6
Plate tectonics,6
Dental Equipment and Supplies,6
Sedimentary geochemistry,6
Residences,6
Ultrasonic Applications,6
Environmental Assessment and Monitoring,6
Radioactive Material Applications,6
Biomechanics,6
Biomaterials,6
"GIS, Remote Sensing",6
2921,6
Pollution control and remediation,6
Automobile and Smaller Vehicle Components,6
Logic Elements,6
"Highway Transportation, General",6
"Light, Optics and Optical Devices",6
Petroleum Refineries,6
Passenger Railroad Transportation,6
Papermaking Equipment,6
2801,6
Packaging,6
Heavy metals,6
Laser Beam Interactions,6
Legal Aspects,6
Woodlands and Forestry,6
Welding,5
Thermoelectric Energy,5
Synthetic Fibers,5
TOURISM,5
Vacuum Technology,5
Tourism and Recreation,5
Vacuum Applications,5
Ventilation,5
"Space Heating, Ventilation and Air Conditioning",5
Weather and climate forecasting,5
Space Research,5
"Rail Transportation, General",5
Soldering,5
Processing of Plastics and Other Polymers,5
Other Structural Materials,5
Pipe Accessories,5
Policy,5
Polymer Applications,5
Primary Batteries,5
Nuclear Power Plants,5
Non-metals,5
Soil water,5
Oil and chemical pollution,5
Mortar,5
"Railway Plant and Structures, General",5
Rehabilitation Engineering and Assistive Technology,5
Secondary Earthquake Effects,5
Sedimentary environments - terrestrial,5
"Railroad Transportation, General",5
"FINANCIAL SECTOR, DEBT",5
Conservation and habitat improvement,5
3201,5
ENERGY,5
AC Motors,5
Coastal and Marine Management,5
"Electrical Engineering, General",5
Electromagnetic Waves in Different Media,5
Construction Methods,5
Acoustic Noise,5
Metal Plating,5
Hydrochemistry,5
Hydraulics,5
Human Rehabilitation Engineering,5
Labour and Income,5
"Metals, Plastics, Wood and Other Structural Materials",5
2910,5
General pollution,5
"Gravitation, Relativity and String Theory",5
Modelling and numerical methods,5
3503,5
Fuel Combustion and Flame Research,5
Corrosion Protection,5
Heat Insulating Materials,5
2908,5
Microbiology,5
Machine Tool Accessories,5
Air Navigation and Traffic Control,5
EDUCATION AND TRAINING,4
3318,4
Space Flight,4
Depositional environments,4
Conveyors,4
"POVERTY, WELFARE AND INCOME DISTRIBUTION",4
Dams,4
Economic Geography,4
Cultural,4
Packaging Equipment,4
"Electronic Equipment, General Purpose and Industrial",4
Economic geochemistry,4
Railroad Transportation,4
Geophysics,4
Gender Studies,4
GENERAL MICROBIAL ECOLOGY,4
1800,4
1410,4
Engineering Professional Aspects,4
Electronic Components and Tubes,4
"SOCIAL POLICY, OTHER SOCIAL SERVICES",4
Regional structure and tectonics,4
Reinforced earth and geosynthetics,4
Electric Network Analysis,4
Rubber Factories and Machinery,4
Electric Lamps,4
Rubber and Elastomers,4
Electronic Circuits,4
Solid State Lasers,4
"MIGRATION, REFUGEES, RESETTLEMENT. LABOUR MIGRATION",4
